patientid	celltype	predicted_proportion	class	true_proportion	sample_size
CID3946	B cells	0.00088498726628268	s1 10000	0.00636942675159236	10000
CID3946	Cycling cells	0	s1 10000	0	10000
CID3946	Endothelial cells	0.173091109430455	s1 10000	0.0955414012738854	10000
CID3946	Epithelial cells	0.0062872257736786	s1 10000	0	10000
CID3946	Mesenchymal cells	0.36358028535389	s1 10000	0.312101910828025	10000
CID3946	Myeloid cells	0.0939830709126177	s1 10000	0.159235668789809	10000
CID3946	Myoepithelial cells	0.0199024498577643	s1 10000	0.299363057324841	10000
CID3946	T cells	0.342270871405312	s1 10000	0.127388535031847	10000
CID44041	B cells	0.0102890318961959	s1 10000	0.0866405813303522	10000
CID44041	Cycling cells	0.0301163657530685	s1 10000	0	10000
CID44041	Endothelial cells	0.0914932963021215	s1 10000	0.0676355505869201	10000
CID44041	Epithelial cells	0.0792950062891582	s1 10000	0.058133035215204	10000
CID44041	Mesenchymal cells	0.415195097325328	s1 10000	0.326439351593069	10000
CID44041	Myeloid cells	0.0807796590639111	s1 10000	0.0514253773057574	10000
CID44041	Myoepithelial cells	0.0395818998466194	s1 10000	0.058133035215204	10000
CID44041	T cells	0.253249643523597	s1 10000	0.351593068753494	10000
CID4465	B cells	0.554057262812	s1 10000	0.126344086021505	10000
CID4465	Cycling cells	0.103560624244003	s1 10000	0.139784946236559	10000
CID4465	Endothelial cells	0.115936987896423	s1 10000	0.201612903225806	10000
CID4465	Epithelial cells	0.0514647520038515	s1 10000	0.104838709677419	10000
CID4465	Mesenchymal cells	0.145025169703984	s1 10000	0.204301075268817	10000
CID4465	Myeloid cells	0.0299552033397386	s1 10000	0.166666666666667	10000
CID4465	Myoepithelial cells	0	s1 10000	0.0456989247311828	10000
CID4465	T cells	0	s1 10000	0.010752688172043	10000
CID4495	B cells	0.078815881389491	s1 10000	0.196379914363566	10000
CID4495	Cycling cells	0.0879558744113015	s1 10000	0.0476839237057221	10000
CID4495	Endothelial cells	0.02345294011232	s1 10000	0.012066952121448	10000
CID4495	Epithelial cells	0.0150074366801361	s1 10000	0.123588945114831	10000
CID4495	Mesenchymal cells	0.0247873631575057	s1 10000	0.0198520825223822	10000
CID4495	Myeloid cells	0.212255848283371	s1 10000	0.0873880887504866	10000
CID4495	Myoepithelial cells	0.00224084885437292	s1 10000	0.0196574542623589	10000
CID4495	T cells	0.555483807111502	s1 10000	0.493382639159206	10000
CID44971	B cells	0.00308926394970996	s1 10000	0.063526834611172	10000
CID44971	Cycling cells	0.0407169862785667	s1 10000	0.0321285140562249	10000
CID44971	Endothelial cells	0.034188595298246	s1 10000	0.0239138371668492	10000
CID44971	Epithelial cells	0.0551388577179373	s1 10000	0.0721066082511866	10000
CID44971	Mesenchymal cells	0.0940157209552893	s1 10000	0.0806863818912012	10000
CID44971	Myeloid cells	0.0995847343725941	s1 10000	0.0726542533771449	10000
CID44971	Myoepithelial cells	0.0497776371157995	s1 10000	0.0230010952902519	10000
CID44971	T cells	0.623488204311857	s1 10000	0.631982475355969	10000
CID44991	B cells	0.236435028771325	s1 10000	0.343763969602146	10000
