cobinder_id	cobinder_name	cobinder_motif_id	log10_p_value	log10_E_value	log10_q_value	tf_pair	pair_label	combined_score	TOMTOMbyPPI	alignment_png
cobinder_0	POU5F1	M09222_2.00	8.96527932072869	5.14507666635339	4.84404788377538	SOX2::POU5F1	SOX2::POU5F1	990	8.8756265275214	ppi_plot/cobinder_0_M09222_2.00_POU5F1.png
cobinder_0	POU5F1	M08141_2.00	8.12309545468518	4.30289450987158	4.47898489660213	SOX2::POU5F1	SOX2::POU5F1	990	8.04186450013833	ppi_plot/cobinder_0_M08141_2.00_POU5F1.png
cobinder_0	POU5F1	MA1115.1	8.12309545468518	4.30289450987158	4.47898489660213	SOX2::POU5F1	SOX2::POU5F1	990	8.04186450013833	ppi_plot/cobinder_0_MA1115.1_POU5F1.png
cobinder_0	POU5F1	M07976_2.00	7.78067224967528	3.96047087742204	4.35841187737259	SOX2::POU5F1	SOX2::POU5F1	990	7.70286552717853	ppi_plot/cobinder_0_M07976_2.00_POU5F1.png
cobinder_0	POU2F2	M09218_2.00	7.30123676905334	3.48103620617949	3.95815746089915	SOX2::POU2F2	SOX2::POU2F2	374	2.73066255162595	ppi_plot/cobinder_0_M09218_2.00_POU2F2.png
cobinder_0	POU2F2	M03298_2.00	6.66412305190505	2.84392052824579	3.38798902737079	SOX2::POU2F2	SOX2::POU2F2	374	2.49238202141249	ppi_plot/cobinder_0_M03298_2.00_POU2F2.png
cobinder_0	NANOG	M09139_2.00	6.32170018889701	2.50149784742358	3.10355866561505	SOX2::NANOG	SOX2::NANOG	966	6.10676238247451	ppi_plot/cobinder_0_M09139_2.00_NANOG.png
cobinder_0	POU2F2	M05446_2.00	6.15033924205649	2.33013850053365	3.02910804046927	SOX2::POU2F2	SOX2::POU2F2	374	2.30022687652913	ppi_plot/cobinder_0_M05446_2.00_POU2F2.png
cobinder_0	POU2F3	M05468_2.00	6.15033924205649	2.33013850053365	3.02910804046927	SOX2::POU2F3	SOX2::POU2F3	444	2.73075062347308	ppi_plot/cobinder_0_M05468_2.00_POU2F3.png
cobinder_0	POU2F1	M03308_2.00	6.07115830297729	2.25095663528561	3.02910804046927	SOX2::POU2F1	SOX2::POU2F1	815	4.94799401692649	ppi_plot/cobinder_0_M03308_2.00_POU2F1.png
cobinder_0	POU2F1	MA0785.1	6.07115830297729	2.25095663528561	3.02910804046927	SOX2::POU2F1	SOX2::POU2F1	815	4.94799401692649	ppi_plot/cobinder_0_MA0785.1_POU2F1.png
cobinder_0	POU2F3	MA0627.2	6.00421173260997	2.1840100667979	3.02895806511923	SOX2::POU2F3	SOX2::POU2F3	444	2.66587000927883	ppi_plot/cobinder_0_MA0627.2_POU2F3.png
cobinder_0	POU5F1B	M03239_2.00	5.94606917782722	2.12586796206735	3.02895806511923	SOX2::POU5F1B	SOX2::POU5F1B	642	3.81737641216508	ppi_plot/cobinder_0_M03239_2.00_POU5F1B.png
cobinder_0	POU2F3	M03306_2.00	5.94606917782722	2.12586796206735	3.02895806511923	SOX2::POU2F3	SOX2::POU2F3	444	2.64005471495529	ppi_plot/cobinder_0_M03306_2.00_POU2F3.png
cobinder_0	POU5F1B	MA0792.1	5.94606917782722	2.12586796206735	3.02895806511923	SOX2::POU5F1B	SOX2::POU5F1B	642	3.81737641216508	ppi_plot/cobinder_0_MA0792.1_POU5F1B.png
cobinder_0	POU5F1	M05875_2.00	5.64503918216324	1.82483912700412	2.75425790764315	SOX2::POU5F1	SOX2::POU5F1	990	5.58858879034161	ppi_plot/cobinder_0_M05875_2.00_POU5F1.png
cobinder_0	POU3F1	M03315_2.00	5.28388976626328	1.46368907480481	2.44141261693348	SOX2::POU3F1	SOX2::POU3F1	482	2.5468348673389	ppi_plot/cobinder_0_M03315_2.00_POU3F1.png
cobinder_0	POU3F1	MA0786.1	5.28388976626328	1.46368907480481	2.44141261693348	SOX2::POU3F1	SOX2::POU3F1	482	2.5468348673389	ppi_plot/cobinder_0_MA0786.1_POU3F1.png
cobinder_0	POU3F4	M03317_2.00	5.00113194239939	1.18093009886783	2.22232311339647	SOX2::POU3F4	SOX2::POU3F4	437	2.18549465882853	ppi_plot/cobinder_0_M03317_2.00_POU3F4.png
cobinder_0	POU3F4	MA0789.1	5.00113194239939	1.18093009886783	2.22232311339647	SOX2::POU3F4	SOX2::POU3F4	437	2.18549465882853	ppi_plot/cobinder_0_MA0789.1_POU3F4.png
cobinder_0	POU2F2	M07972_2.00	4.63505709709295	0.81485747789434	1.94328948177266	SOX2::POU2F2	SOX2::POU2F2	374	1.73351135431276	ppi_plot/cobinder_0_M07972_2.00_POU2F2.png
cobinder_0	POU2F2	M07973_2.00	4.63505709709295	0.81485747789434	1.94328948177266	SOX2::POU2F2	SOX2::POU2F2	374	1.73351135431276	ppi_plot/cobinder_0_M07973_2.00_POU2F2.png
cobinder_0	POU3F1	M05486_2.00	4.63315696102414	0.812956136756278	1.94328948177266	SOX2::POU3F1	SOX2::POU3F1	482	2.23318165521363	ppi_plot/cobinder_0_M05486_2.00_POU3F1.png
cobinder_0	POU2F2	M07974_2.00	4.63315696102414	0.812956136756278	1.94328948177266	SOX2::POU2F2	SOX2::POU2F2	374	1.73280070342303	ppi_plot/cobinder_0_M07974_2.00_POU2F2.png
cobinder_0	POU2F2	M07975_2.00	4.63315696102414	0.812956136756278	1.94328948177266	SOX2::POU2F2	SOX2::POU2F2	374	1.73280070342303	ppi_plot/cobinder_0_M07975_2.00_POU2F2.png
cobinder_0	POU1F1	M03301_2.00	4.57516734671187	0.754966307177916	1.90109335473518	SOX2::POU1F1	SOX2::POU1F1	290	1.32679853054644	ppi_plot/cobinder_0_M03301_2.00_POU1F1.png
cobinder_0	POU2F1	M10835_2.00	4.52401518712468	0.703813235774163	1.86518244571407	SOX2::POU2F1	SOX2::POU2F1	815	3.68707237750661	ppi_plot/cobinder_0_M10835_2.00_POU2F1.png
cobinder_0	POU3F3	M03319_2.00	4.39204662841435	0.571845760384979	1.77596444669945	SOX2::POU3F3	SOX2::POU3F3	437	1.91932437661707	ppi_plot/cobinder_0_M03319_2.00_POU3F3.png
cobinder_0	POU3F3	MA0788.1	4.39204662841435	0.571845760384979	1.77596444669945	SOX2::POU3F3	SOX2::POU3F3	437	1.91932437661707	ppi_plot/cobinder_0_MA0788.1_POU3F3.png
cobinder_0	POU3F2	M03314_2.00	4.24315097993329	0.422949612455282	1.65339864884313	SOX2::POU3F2	SOX2::POU3F2	437	1.85425697823085	ppi_plot/cobinder_0_M03314_2.00_POU3F2.png
cobinder_0	POU3F2	MA0787.1	4.24315097993329	0.422949612455282	1.65339864884313	SOX2::POU3F2	SOX2::POU3F2	437	1.85425697823085	ppi_plot/cobinder_0_MA0787.1_POU3F2.png
cobinder_0	POU1F1	M05455_2.00	3.92313755136049	0.102937858833229	1.34597563229189	SOX2::POU1F1	SOX2::POU1F1	290	1.13770988989454	ppi_plot/cobinder_0_M05455_2.00_POU1F1.png
cobinder_0	POU2F1	M10829_2.00	3.79104832499218	-0.0291523629060002	1.22611997975773	SOX2::POU2F1	SOX2::POU2F1	815	3.08970438486862	ppi_plot/cobinder_0_M10829_2.00_POU2F1.png
cobinder_0	SOX1	M08042_2.00	3.69396118366365	-0.12623858713863	1.1409325891941	SOX2::SOX1	SOX2::SOX1	41	0.15145240853021	ppi_plot/cobinder_0_M08042_2.00_SOX1.png
cobinder_0	POU2F1	M09219_2.00	3.64837180223618	-0.17183172440442	1.10692322151374	SOX2::POU2F1	SOX2::POU2F1	815	2.97342301882249	ppi_plot/cobinder_0_M09219_2.00_POU2F1.png
cobinder_0	TBP	M08231_2.00	3.57906118433261	-0.241140384825255	1.05988961083873	SOX2::TBP	SOX2::TBP	53	0.189690242769628	ppi_plot/cobinder_0_M08231_2.00_TBP.png
cobinder_0	POU3F4	M05496_2.00	3.34287432126492	-0.477326772139144	0.84489179911369	SOX2::POU3F4	SOX2::POU3F4	437	1.46083607839277	ppi_plot/cobinder_0_M05496_2.00_POU3F4.png
cobinder_0	POU2F2	M02743_2.00	3.31436841602881	-0.505833454032956	0.826603921855143	SOX2::POU2F2	SOX2::POU2F2	374	1.23957378759477	ppi_plot/cobinder_0_M02743_2.00_POU2F2.png
cobinder_0	POU3F2	M05476_2.00	3.20892650146691	-0.611274978214615	0.731148340372915	SOX2::POU3F2	SOX2::POU3F2	437	1.40230088114104	ppi_plot/cobinder_0_M05476_2.00_POU3F2.png
cobinder_0	SOX1	M09409_2.00	3.19076764455308	-0.62943406570828	0.722748452403082	SOX2::SOX1	SOX2::SOX1	41	0.130821473426676	ppi_plot/cobinder_0_M09409_2.00_SOX1.png
cobinder_0	POU2F2	MA0507.2	3.15247114265221	-0.667730252430869	0.693997676923781	SOX2::POU2F2	SOX2::POU2F2	374	1.17902420735193	ppi_plot/cobinder_0_MA0507.2_POU2F2.png
cobinder_0	POU1F1	MA0784.2	2.93232668535819	-0.887875999774482	0.49233569171545	SOX2::POU1F1	SOX2::POU1F1	290	0.850374738753875	ppi_plot/cobinder_0_MA0784.2_POU1F1.png
cobinder_0	POU2F2	M08140_2.00	2.84943696399152	-0.970765159780768	0.435774370303611	SOX2::POU2F2	SOX2::POU2F2	374	1.06568942453283	ppi_plot/cobinder_0_M08140_2.00_POU2F2.png
cobinder_0	SOX1	M08041_2.00	2.74500987809442	-1.07519281228908	0.34805457744232	SOX2::SOX1	SOX2::SOX1	41	0.112545405001871	ppi_plot/cobinder_0_M08041_2.00_SOX1.png
cobinder_0	POU2F1	M00377_2.00	2.66558445235877	-1.15461870763324	0.287874966840542	SOX2::POU2F1	SOX2::POU2F1	815	2.1724513286724	ppi_plot/cobinder_0_M00377_2.00_POU2F1.png
cobinder_0	POU3F2	M03313_2.00	2.44450047952073	-1.37570201303851	0.0941205057627799	SOX2::POU3F2	SOX2::POU3F2	437	1.06824670955056	ppi_plot/cobinder_0_M03313_2.00_POU3F2.png
cobinder_0	POU2F1	M10826_2.00	2.38155337247081	-1.43864833851207	0.0527133553222016	SOX2::POU2F1	SOX2::POU2F1	815	1.94096599856371	ppi_plot/cobinder_0_M10826_2.00_POU2F1.png
cobinder_0	CEBPA	M10023_2.00	2.35346688702183	-1.4667341988263	0.031576362376744	SOX2::CEBPA	SOX2::CEBPA	84	0.197691218509834	ppi_plot/cobinder_0_M10023_2.00_CEBPA.png
cobinder_0	POU2F2	M05447_2.00	2.32713679529314	-1.49306470745198	0.0120849359559459	SOX2::POU2F2	SOX2::POU2F2	374	0.870349161439634	ppi_plot/cobinder_0_M05447_2.00_POU2F2.png
cobinder_0	POU3F1	M09221_2.00	2.29954724260084	-1.52065381091663	0	SOX2::POU3F1	SOX2::POU3F1	482	1.1083817709336	ppi_plot/cobinder_0_M09221_2.00_POU3F1.png
cobinder_0	POU3F4	M05492_2.00	2.24232693111702	-1.577874224171	0	SOX2::POU3F4	SOX2::POU3F4	437	0.979896868898139	ppi_plot/cobinder_0_M05492_2.00_POU3F4.png
cobinder_0	ZSCAN1	M04484_2.00	2.08239787461149	-1.73780388352821	0	SOX2::ZSCAN1	SOX2::ZSCAN1	125	0.260299734326436	ppi_plot/cobinder_0_M04484_2.00_ZSCAN1.png
cobinder_0	ZSCAN4	M04594_2.00	2.08239787461149	-1.73780388352821	0	SOX2::ZSCAN4	SOX2::ZSCAN4	125	0.260299734326436	ppi_plot/cobinder_0_M04594_2.00_ZSCAN4.png
cobinder_0	POU3F2	M09220_2.00	2.08239787461149	-1.73780388352821	0	SOX2::POU3F2	SOX2::POU3F2	437	0.91000787120522	ppi_plot/cobinder_0_M09220_2.00_POU3F2.png
cobinder_0	POU2F3	M03307_2.00	2.00420383920105	-1.81599723085855	0	SOX2::POU2F3	SOX2::POU2F3	444	0.889866504605267	ppi_plot/cobinder_0_M03307_2.00_POU2F3.png
cobinder_0	POU3F1	M05490_2.00	1.94425863399438	-1.87594227650008	0	SOX2::POU3F1	SOX2::POU3F1	482	0.937132661585292	ppi_plot/cobinder_0_M05490_2.00_POU3F1.png
cobinder_0	ZSCAN1	M04483_2.00	1.91788273648932	-1.90231897315945	0	SOX2::ZSCAN1	SOX2::ZSCAN1	125	0.239735342061165	ppi_plot/cobinder_0_M04483_2.00_ZSCAN1.png
cobinder_0	ZSCAN4	M04593_2.00	1.91788273648932	-1.90231897315945	0	SOX2::ZSCAN4	SOX2::ZSCAN4	125	0.239735342061165	ppi_plot/cobinder_0_M04593_2.00_ZSCAN4.png
cobinder_0	ZSCAN1	UN0243.1	1.91788273648932	-1.90231897315945	0	SOX2::ZSCAN1	SOX2::ZSCAN1	125	0.239735342061165	ppi_plot/cobinder_0_UN0243.1_ZSCAN1.png
cobinder_0	POU2F2	M03299_2.00	1.89166842154625	-1.92853410797202	0	SOX2::POU2F2	SOX2::POU2F2	374	0.707483989658299	ppi_plot/cobinder_0_M03299_2.00_POU2F2.png
cobinder_0	POU6F1	M05352_2.00	1.8699880503281	-1.9502138962043	0	SOX2::POU6F1	SOX2::POU6F1	321	0.600266164155319	ppi_plot/cobinder_0_M05352_2.00_POU6F1.png
